cell,gene
ABarpaaaaa,nlp-7
ABarpaaaaa,par-6
ABarpaaaaa,gst-44
ABarpaaaaa,rhgf-1
ABarpaaaaa,cat-1
ABarpaaaaa,spn-4
ABarpaaaaa,mig-1
ABarpaaaaa,psa-4
ABarpaaaaa,nhr-22
ABarpaaaaa,pry-1
ABarpaaaaa,str-3
ABarpaaaaa,smp-2
R6stL,clh-4
R6stL,hcp-1
R6stL,daf-7
R6stL,fax-1
R6stL,unc-5
R6stL,mec-10
R6stL,daf-3
R6stL,avr-15
R6stL,lin-3
R6stL,ooc-5
R6stL,sma-9
R6stL,exc-7
R6stL,del-1
R6stL,Y46G5A.4
R6stL,rpl-5
R6stL,ocr-1
R6stL,C32B5.6
R6stL,gsp-4
R6stL,rpa-2
R6stR,clh-4
R6stR,hcp-1
R6stR,daf-7
R6stR,fax-1
R6stR,unc-5
R6stR,mec-10
R6stR,daf-3
R6stR,avr-15
R6stR,lin-3
R6stR,ooc-5
R6stR,sma-9
R6stR,exc-7
R6stR,del-1
R6stR,Y46G5A.4
R6stR,rpl-5
R6stR,ocr-1
R6stR,C32B5.6
R6stR,gsp-4
R6stR,rpa-2
MSaaapaa,par-6
MSaaapaa,gst-44
MSaaapaa,rhgf-1
MSaaapaa,cat-1
MSaaapaa,spn-4
MSaaapaa,mig-1
MSaaapaa,psa-4
MSaaapaa,pry-1
MSaaapaa,str-3
MSaaapaa,smp-2
ABarpaaaap,nlp-7
ABarpaaaap,par-6
ABarpaaaap,gst-44
ABarpaaaap,rhgf-1
ABarpaaaap,cat-1
ABarpaaaap,spn-4
ABarpaaaap,mig-1
ABarpaaaap,psa-4
ABarpaaaap,nhr-22
ABarpaaaap,pry-1
ABarpaaaap,str-3
ABarpaaaap,smp-2
OLLR,gcy-8
OLLR,par-6
OLLR,gst-44
OLLR,rhgf-1
OLLR,osm-6
OLLR,glr-8
OLLR,R09A8.5
OLLR,psa-4
OLLR,erm-1
OLLR,inx-3
OLLR,hid-1
OLLR,snt-1
OLLR,ser-4
OLLR,gld-1
OLLR,nhr-57
OLLR,nid-1
OLLR,sra-13
OLLR,pry-1
OLLR,str-3
OLLR,wrm-1
OLLR,nlp-8
OLLR,tax-6
OLLR,gpa-5
ABaraapapp,nlp-7
ABaraapapp,par-6
ABaraapapp,gst-44
ABaraapapp,rhgf-1
ABaraapapp,cat-1
ABaraapapp,spn-4
ABaraapapp,mig-1
ABaraapapp,psa-4
ABaraapapp,nhr-22
ABaraapapp,pry-1
ABaraapapp,str-3
ABaraapapp,smp-2
gon_herm_anch,glr-2
gon_herm_anch,ggr-1
gon_herm_anch,unc-30
gon_herm_anch,cdh-3
gon_herm_anch,goa-1
gon_herm_anch,daf-11
gon_herm_anch,tag-97
gon_herm_anch,C09F9.3
SM1R.pa,egl-5
SM1R.pa,gar-2
ABaraapapa,nlp-7
ABaraapapa,par-6
ABaraapapa,gst-44
ABaraapapa,rhgf-1
ABaraapapa,cat-1
ABaraapapa,spn-4
ABaraapapa,mig-1
ABaraapapa,psa-4
ABaraapapa,pry-1
ABaraapapa,str-3
ABaraapapa,smp-2
spike,par-6
spike,gst-44
spike,rhgf-1
spike,cat-1
spike,psa-4
spike,nhr-22
spike,pry-1
spike,str-3
spike,smp-2
m5VR,par-6
m5VR,gst-44
m5VR,rhgf-1
m5VR,cat-1
m5VR,psa-4
m5VR,nhr-22
m5VR,pry-1
m5VR,str-3
m5VR,smp-2
m8,mps-1
m8,hbl-1
m8,par-6
m8,gst-44
m8,rhgf-1
m8,cat-1
m8,psa-4
m8,nhr-22
m8,tbx-2
m8,pry-1
m8,str-3
m8,smp-2
SM1R.pp,egl-5
SM1R.pp,gar-2
ABplaaaapa,nlp-7
ABplaaaapa,par-6
ABplaaaapa,gst-44
ABplaaaapa,rhgf-1
ABplaaaapa,cat-1
ABplaaaapa,spn-4
ABplaaaapa,mig-1
ABplaaaapa,psa-4
ABplaaaapa,nhr-22
ABplaaaapa,pry-1
ABplaaaapa,str-3
ABplaaaapa,jkk-1
ABplaaaapa,smp-2
ABplapap,nlp-7
ABplapap,par-6
ABplapap,gst-44
ABplapap,rhgf-1
ABplapap,cat-1
ABplapap,spn-4
ABplapap,mig-1
ABplapap,psa-4
ABplapap,pry-1
ABplapap,str-3
ABplapap,acy-1
ABplapap,jkk-1
ABplapap,smp-2
M.vrpaaaaa,odr-2
M.vrpaaaaa,ceh-7
M.vrpaaaaa,daf-11
M.vrpaaaaa,tbx-8
M.vrpaaaaa,Y18D10A.23
M.vrpaaaaa,nfm-1
M.vrpaaaaa,tlp-1
ABplaaaapp,nlp-7
ABplaaaapp,par-6
ABplaaaapp,gst-44
ABplaaaapp,rhgf-1
ABplaaaapp,cat-1
ABplaaaapp,spn-4
ABplaaaapp,mig-1
ABplaaaapp,psa-4
ABplaaaapp,nhr-22
ABplaaaapp,pry-1
ABplaaaapp,str-3
ABplaaaapp,jkk-1
ABplaaaapp,smp-2
ABplapaa,nlp-7
ABplapaa,par-6
ABplapaa,gst-44
ABplapaa,rhgf-1
ABplapaa,cat-1
ABplapaa,spn-4
ABplapaa,mig-1
ABplapaa,psa-4
ABplapaa,pry-1
ABplapaa,str-3
ABplapaa,acy-1
ABplapaa,jkk-1
ABplapaa,smp-2
M.vrpaaaap,odr-2
M.vrpaaaap,ceh-7
M.vrpaaaap,daf-11
M.vrpaaaap,tbx-8
M.vrpaaaap,Y18D10A.23
M.vrpaaaap,nfm-1
M.vrpaaaap,tlp-1
Ear,hlh-2
Ear,vab-7
Ear,lin-12
Ear,nlp-7
Ear,par-6
Ear,gst-44
Ear,rhgf-1
Ear,oma-2
Ear,cat-1
Ear,psa-4
Ear,clh-3
Ear,unc-15
Ear,gar-1
Ear,pry-1
Ear,str-3
Ear,ima-2
Ear,acy-1
Ear,smp-2
Ear,nhr-23
Cppapa,nlp-7
Cppapa,par-6
Cppapa,gst-44
Cppapa,rhgf-1
Cppapa,cat-1
Cppapa,psa-4
Cppapa,nhr-22
Cppapa,pry-1
Cppapa,str-3
Cppapa,smp-2
ABplpppp,nlp-7
ABplpppp,par-6
ABplpppp,gst-44
ABplpppp,rhgf-1
ABplpppp,cat-1
ABplpppp,spn-4
ABplpppp,mig-1
ABplpppp,psa-4
ABplpppp,pry-1
ABplpppp,str-3
ABplpppp,acy-1
ABplpppp,jkk-1
ABplpppp,smp-2
P11.pa,ggr-2
P11.pa,gcy-34
VB2,eor-1
VB2,tax-4
ABplpppa,nlp-7
ABplpppa,par-6
ABplpppa,gst-44
ABplpppa,rhgf-1
ABplpppa,cat-1
ABplpppa,spn-4
ABplpppa,mig-1
ABplpppa,psa-4
ABplpppa,pry-1
ABplpppa,str-3
ABplpppa,acy-1
ABplpppa,jkk-1
ABplpppa,smp-2
P11.pp,ggr-2
P11.pp,tba-2
P11.pp,gcy-34
Z4.aappaap,exp-1
V6L.pappa,alh-9
ABprpaaapp,nlp-7
ABprpaaapp,par-6
ABprpaaapp,gst-44
ABprpaaapp,rhgf-1
ABprpaaapp,cat-1
ABprpaaapp,spn-4
ABprpaaapp,mig-1
ABprpaaapp,psa-4
ABprpaaapp,nhr-22
ABprpaaapp,pry-1
ABprpaaapp,str-3
ABprpaaapp,jkk-1
ABprpaaapp,smp-2
ABprpaaapp,nhr-85
V6L.pappp,oga-1
V6L.pappp,gar-2
V6L.pappp,alh-9
V6L.pappp,srd-1
V6L.pappp,srg-13
V6L.pappp,cha-1
ABprpaaapa,nlp-7
ABprpaaapa,par-6
ABprpaaapa,gst-44
ABprpaaapa,rhgf-1
ABprpaaapa,cat-1
ABprpaaapa,spn-4
ABprpaaapa,mig-1
ABprpaaapa,psa-4
ABprpaaapa,nhr-22
