cell,gene
HSNL,B0228.7
HSNL,C46C11.2
HSNL,vha-3
HSNL,unc-40
HSNL,unc-14
HSNL,pes-10
HSNL,elt-3
HSNL,hlh-1
HSNL,wnk-1
HSNL,hlh-8
HSNL,unc-45
HSNL,egl-15
HSNL,F54C9.7
HSNL,pry-1
HSNL,str-3
HSNL,pig-1
HSNL,wrt-8
HSNL,oig-1
HSNL,lag-2
HSNL,sax-3
HSNL,gsa-1
HSNL,klp-3
HSNL,ftt-2
HSNL,osm-5
HSNL,ifa-1
HSNL,prdx-2
HSNL,cav-1
HSNL,pop-1
HSNL,mrp-5
HSNL,C09F9.3
MSappaa,par-6
MSappaa,gst-44
MSappaa,rhgf-1
MSappaa,cat-1
MSappaa,spn-4
MSappaa,mig-1
MSappaa,psa-4
MSappaa,pry-1
MSappaa,str-3
MSappaa,acy-1
MSappaa,smp-2
R8stR,clh-4
R8stR,hcp-1
R8stR,daf-7
R8stR,fax-1
R8stR,unc-5
R8stR,mec-10
R8stR,daf-3
R8stR,avr-15
R8stR,ooc-5
R8stR,exc-7
R8stR,del-1
R8stR,Y46G5A.4
R8stR,rpl-5
R8stR,ocr-1
R8stR,C32B5.6
R8stR,gsp-4
R8stR,rpa-2
R8stR,nsy-1
ABalpaaappa,nlp-7
ABalpaaappa,par-6
ABalpaaappa,gst-44
ABalpaaappa,rhgf-1
ABalpaaappa,cat-1
ABalpaaappa,spn-4
ABalpaaappa,mig-1
ABalpaaappa,psa-4
ABalpaaappa,nhr-22
ABalpaaappa,pry-1
ABalpaaappa,str-3
ABalpaaappa,smp-2
URBR,nlp-14
URBR,pkd-2
URBR,par-6
URBR,gst-44
URBR,rhgf-1
URBR,cat-1
URBR,ceh-20
URBR,psa-4
URBR,nhr-22
URBR,pry-1
URBR,str-3
URBR,smp-2
HSNR,unc-103
HSNR,glr-4
HSNR,egl-19
HSNR,pgp-3
HSNR,nlp-14
HSNR,ltd-1
HSNR,flp-1
HSNR,ina-1
HSNR,inx-13
HSNR,lin-35
HSNR,pkd-2
HSNR,par-6
HSNR,ttx-3
HSNR,gst-44
HSNR,rhgf-1
HSNR,C04D8.1
HSNR,ced-10
HSNR,goa-1
HSNR,nlp-1
HSNR,ceh-26
HSNR,psa-4
HSNR,ceh-7
HSNR,erm-1
HSNR,sma-9
HSNR,B0228.7
HSNR,C46C11.2
HSNR,vha-3
HSNR,unc-40
HSNR,unc-14
HSNR,pes-10
HSNR,elt-3
HSNR,hlh-1
HSNR,wnk-1
HSNR,hlh-8
HSNR,unc-45
HSNR,egl-15
HSNR,F54C9.7
HSNR,pry-1
HSNR,str-3
HSNR,pig-1
HSNR,wrt-8
HSNR,oig-1
HSNR,lag-2
HSNR,sax-3
HSNR,gsa-1
HSNR,klp-3
HSNR,ftt-2
HSNR,osm-5
HSNR,ifa-1
HSNR,prdx-2
HSNR,cav-1
HSNR,pop-1
HSNR,mrp-5
HSNR,C09F9.3
int8R,vab-7
int8R,nlp-7
int8R,par-6
int8R,gst-44
int8R,rhgf-1
int8R,cat-1
int8R,psa-4
int8R,pha-1
int8R,pry-1
int8R,str-3
int8R,smp-2
int8R,F42A10.3
int8R,nhr-23
MSappap,par-6
MSappap,gst-44
MSappap,rhgf-1
MSappap,cat-1
MSappap,spn-4
MSappap,mig-1
MSappap,psa-4
MSappap,pry-1
MSappap,str-3
MSappap,acy-1
MSappap,smp-2
V6L.pppa,sma-9
V6L.pppa,alh-9
SPDR,ifa-4
SPDR,cam-1
int1DL,vab-7
int1DL,nlp-7
int1DL,par-6
int1DL,gst-44
int1DL,rhgf-1
int1DL,cat-1
int1DL,psa-4
int1DL,ins-22
int1DL,pha-1
int1DL,pry-1
int1DL,str-3
int1DL,smp-2
int1DL,F42A10.3
int1DL,nhr-23
M.vl,odr-2
M.vl,nlp-10
M.vl,gcy-12
M.vl,tbx-8
M.vl,nfm-1
M.vl,tlp-1
M.vr,odr-2
M.vr,nlp-10
M.vr,gcy-12
M.vr,tbx-8
M.vr,nfm-1
M.vr,tlp-1
SPDL,ifa-4
SPDL,cam-1
V6L.pppp,sma-9
V6L.pppp,alh-9
V6L.pppp,ver-2
ABplpaaaaa,nlp-7
ABplpaaaaa,par-6
ABplpaaaaa,gst-44
ABplpaaaaa,rhgf-1
ABplpaaaaa,cat-1
ABplpaaaaa,spn-4
ABplpaaaaa,mig-1
ABplpaaaaa,psa-4
ABplpaaaaa,nhr-22
ABplpaaaaa,pry-1
ABplpaaaaa,str-3
ABplpaaaaa,jkk-1
ABplpaaaaa,smp-2
ABplpaaaaa,nhr-85
Dpppp,par-6
Dpppp,gst-44
Dpppp,rhgf-1
Dpppp,cat-1
Dpppp,psa-4
Dpppp,nhr-22
Dpppp,pry-1
Dpppp,str-3
Dpppp,ooc-3
Dpppp,smp-2
Dpppp,crt-1
ABpraaapapap,nlp-7
ABpraaapapap,par-6
ABpraaapapap,gst-44
ABpraaapapap,rhgf-1
ABpraaapapap,spn-4
ABpraaapapap,mig-1
ABpraaapapap,psa-4
ABpraaapapap,pry-1
ABpraaapapap,str-3
ABpraaapapap,jkk-1
ABalpapppap,nlp-7
ABalpapppap,par-6
ABalpapppap,gst-44
ABalpapppap,rhgf-1
ABalpapppap,cat-1
ABalpapppap,spn-4
ABalpapppap,mig-1
ABalpapppap,psa-4
ABalpapppap,nhr-22
ABalpapppap,pry-1
ABalpapppap,str-3
ABalpapppap,smp-2
PHCL,nlp-14
PHCL,flp-1
PHCL,ina-1
PHCL,ham-2
PHCL,egl-36
PHCL,hlh-1
PHCL,mec-9
PHCL,sax-3
PHCL,ftt-2
MSpappap,par-6
MSpappap,gst-44
MSpappap,rhgf-1
MSpappap,cat-1
MSpappap,spn-4
MSpappap,mig-1
MSpappap,psa-4
MSpappap,nhr-22
MSpappap,pry-1
MSpappap,str-3
MSpappap,ric-19
MSpappap,smp-2
ABplaapappp,nlp-7
ABplaapappp,par-6
ABplaapappp,gst-44
ABplaapappp,rhgf-1
ABplaapappp,cat-1
ABplaapappp,spn-4
ABplaapappp,mig-1
ABplaapappp,psa-4
ABplaapappp,nhr-22
ABplaapappp,pry-1
ABplaapappp,str-3
ABplaapappp,jkk-1
ABplaapappp,smp-2
V6R.pppppp,alh-9
Dpppa,par-6
Dpppa,gst-44
Dpppa,rhgf-1
Dpppa,cat-1
Dpppa,psa-4
Dpppa,nhr-22
Dpppa,pry-1
Dpppa,str-3
Dpppa,ooc-3
Dpppa,smp-2
Dpppa,crt-1
V5R.p,alh-9
V5R.p,klp-16
ABalapapapap,nlp-7
ABalapapapap,par-6
ABalapapapap,gst-44
ABalapapapap,rhgf-1
ABalapapapap,spn-4
ABalapapapap,mig-1
ABalapapapap,psa-4
ABalapapapap,pry-1
ABalapapapap,str-3
PHCR,nlp-14
PHCR,flp-1
PHCR,ina-1
PHCR,ham-2
PHCR,egl-36
PHCR,hlh-1
PHCR,mec-9
PHCR,sax-3
PHCR,ftt-2
MSpaaaaap,par-6
MSpaaaaap,gst-44
MSpaaaaap,rhgf-1
MSpaaaaap,cat-1
MSpaaaaap,spn-4
MSpaaaaap,mig-1
MSpaaaaap,psa-4
MSpaaaaap,nhr-22
MSpaaaaap,pry-1
MSpaaaaap,str-3
MSpaaaaap,smp-2
MSpappaa,par-6
MSpappaa,gst-44
MSpappaa,rhgf-1
MSpappaa,cat-1
MSpappaa,spn-4
MSpappaa,mig-1
MSpappaa,psa-4
MSpappaa,nhr-22
MSpappaa,pry-1
MSpappaa,str-3
MSpappaa,ric-19
MSpappaa,smp-2
V6R.pppppa,gpa-13
V6R.pppppa,oga-1
V6R.pppppa,gar-2
V6R.pppppa,alh-9
V6R.pppppa,srg-13
V6R.pppppa,cha-1
AVBR,gon-4
AVBR,egl-4
AVBR,par-6
AVBR,gst-44
AVBR,rhgf-1
AVBR,cat-1
AVBR,psa-4
AVBR,nhr-22
AVBR,ekl-2
AVBR,lin-42
AVBR,F54C9.7
AVBR,pry-1
AVBR,str-3
AVBR,pig-1
AVBR,smp-2
AVBR,mrp-5
AVBR,gpc-1
ABprppppppp,nlp-7
ABprppppppp,unc-17
ABprppppppp,par-6
ABprppppppp,gst-44
ABprppppppp,rhgf-1
ABprppppppp,cat-1
ABprppppppp,spn-4
ABprppppppp,mig-1
ABprppppppp,psa-4
ABprppppppp,nhr-22
ABprppppppp,pry-1
ABprppppppp,str-3
ABprppppppp,jkk-1
ABprppppppp,smp-2
ABprpppppa,nlp-7
ABprpppppa,unc-17
ABprpppppa,par-6
ABprpppppa,gst-44
ABprpppppa,rhgf-1
ABprpppppa,cat-1
ABprpppppa,spn-4
ABprpppppa,mig-1
ABprpppppa,psa-4
ABprpppppa,nhr-22
ABprpppppa,nud-2
ABprpppppa,pry-1
ABprpppppa,str-3
ABprpppppa,jkk-1
ABprpppppa,smp-2
ABprpppppa,nhr-85
V4L.pa,alh-9
V4L.pa,klp-16
V4L.pa,B0285.6
ABprpppppp,nlp-7
ABprpppppp,unc-17
ABprpppppp,par-6
ABprpppppp,gst-44
ABprpppppp,rhgf-1
ABprpppppp,cat-1
ABprpppppp,spn-4
ABprpppppp,mig-1
ABprpppppp,psa-4
ABprpppppp,nhr-22
ABprpppppp,nud-2
ABprpppppp,pry-1
ABprpppppp,str-3
ABprpppppp,jkk-1
ABprpppppp,smp-2
ABprpppppp,nhr-85
ABprppaapaa,nlp-7
ABprppaapaa,par-6
ABprppaapaa,gst-44
ABprppaapaa,rhgf-1
ABprppaapaa,cat-1
ABprppaapaa,spn-4
ABprppaapaa,mig-1
ABprppaapaa,psa-4
ABprppaapaa,nhr-22
ABprppaapaa,pry-1
ABprppaapaa,str-3
ABprppaapaa,jkk-1
ABprppaapaa,smp-2
AVBL,gon-4
AVBL,egl-4
AVBL,par-6
AVBL,gst-44
AVBL,rhgf-1
AVBL,cat-1
AVBL,psa-4
AVBL,nhr-22
AVBL,ekl-2
AVBL,lin-42
AVBL,F54C9.7
AVBL,pry-1
AVBL,str-3
AVBL,pig-1
AVBL,smp-2
AVBL,mrp-5
AVBL,gpc-1
ABalapaapp,nlp-7
ABalapaapp,par-6
ABalapaapp,gst-44
ABalapaapp,rhgf-1
ABalapaapp,cat-1
ABalapaapp,spn-4
ABalapaapp,mig-1
ABalapaapp,psa-4
ABalapaapp,pry-1
ABalapaapp,str-3
ABalapaapp,smp-2
ABalapaapp,nhr-85
ABaraaapa,nlp-7
ABaraaapa,par-6
ABaraaapa,gst-44
ABaraaapa,rhgf-1
ABaraaapa,cat-1
ABaraaapa,spn-4
ABaraaapa,mig-1
ABaraaapa,psa-4
ABaraaapa,pry-1
ABaraaapa,str-3
ABaraaapa,acy-1
ABaraaapa,smp-2
ABaraaapa,crt-1
ABalpaapp,nlp-7
ABalpaapp,par-6
ABalpaapp,gst-44
ABalpaapp,rhgf-1
ABalpaapp,cat-1
ABalpaapp,spn-4
ABalpaapp,mig-1
ABalpaapp,psa-4
ABalpaapp,pry-1
ABalpaapp,str-3
ABalpaapp,acy-1
ABalpaapp,smp-2
ABalpaapp,crt-1
ABalpaapp,nhr-85
H2L.a,B0285.6
B.ppp,wrk-1
ABalapaapa,nlp-7
ABalapaapa,par-6
ABalapaapa,gst-44
ABalapaapa,rhgf-1
ABalapaapa,cat-1
ABalapaapa,spn-4
ABalapaapa,mig-1
ABalapaapa,psa-4
ABalapaapa,nhr-22
ABalapaapa,pry-1
ABalapaapa,str-3
ABalapaapa,smp-2
ABalapaapa,nhr-85
ABaraaapp,nlp-7
ABaraaapp,par-6
ABaraaapp,gst-44
ABaraaapp,rhgf-1
ABaraaapp,cat-1
ABaraaapp,spn-4
ABaraaapp,mig-1
ABaraaapp,psa-4
ABaraaapp,pry-1
ABaraaapp,str-3
ABaraaapp,acy-1
ABaraaapp,smp-2
ABaraaapp,crt-1
ABaraaapp,nhr-85
ABalpaapa,nlp-7
ABalpaapa,par-6
ABalpaapa,gst-44
ABalpaapa,rhgf-1
ABalpaapa,cat-1
ABalpaapa,spn-4
ABalpaapa,mig-1
ABalpaapa,psa-4
ABalpaapa,pry-1
ABalpaapa,str-3
ABalpaapa,acy-1
ABalpaapa,smp-2
ABalpaapa,crt-1
V1R.paa,alh-9
V1R.paa,klp-16
V1R.paa,B0285.6
TR.ppp,mec-9
B.ppa,wrk-1
H2L.p,B0285.6
M.vrpa,odr-2
M.vrpa,F55G1.6
M.vrpa,tbx-8
M.vrpa,nfm-1
M.vrpa,tlp-1
IL1DR,par-6
IL1DR,gst-44
IL1DR,rhgf-1
IL1DR,R09A8.5
IL1DR,psa-4
IL1DR,snt-1
IL1DR,pry-1
IL1DR,str-3
IL1DR,gpa-5
Z4.aapaa,F55G1.6
M.vrpaapap,myo-3
M.vrpaapap,odr-2
M.vrpaapap,ceh-7
M.vrpaapap,daf-11
M.vrpaapap,tbx-8
M.vrpaapap,Y18D10A.23
M.vrpaapap,nfm-1
M.vrpaapap,tlp-1
M.vrpaapap,nhr-76
ABprapppapa,nlp-7
ABprapppapa,par-6
ABprapppapa,gst-44
ABprapppapa,rhgf-1
ABprapppapa,cat-1
ABprapppapa,spn-4
ABprapppapa,mig-1
ABprapppapa,psa-4
ABprapppapa,nhr-22
ABprapppapa,pry-1
ABprapppapa,str-3
ABprapppapa,zmp-1
ABprapppapa,jkk-1
ABprapppapa,smp-2
SM2L.ap,egl-5
SM2L.ap,gar-2
V3R.papp,alh-9
V3R.papp,ver-2
V3R.papp,B0285.6
AIAR,glr-3
AIAR,par-6
AIAR,gst-44
AIAR,rhgf-1
AIAR,dgk-1
AIAR,cat-1
AIAR,psa-4
AIAR,nhr-22
AIAR,akt-2
AIAR,pry-1
AIAR,str-3
AIAR,tba-2
AIAR,smp-2
Eara,vab-7
Eara,lin-12
Eara,nlp-7
Eara,par-6
Eara,gst-44
Eara,rhgf-1
Eara,lam-3
Eara,oma-2
Eara,cat-1
Eara,psa-4
Eara,unc-15
Eara,gar-1
Eara,pry-1
Eara,str-3
Eara,ima-2
Eara,acy-1
Eara,smp-2
Eara,F42A10.3
Eara,nhr-23
ABprapppapp,nlp-7
ABprapppapp,par-6
ABprapppapp,gst-44
ABprapppapp,rhgf-1
ABprapppapp,cat-1
ABprapppapp,spn-4
ABprapppapp,mig-1
ABprapppapp,psa-4
ABprapppapp,nhr-22
ABprapppapp,pry-1
ABprapppapp,str-3
ABprapppapp,zmp-1
ABprapppapp,jkk-1
ABprapppapp,smp-2
AIAL,glr-3
AIAL,par-6
AIAL,gst-44
AIAL,rhgf-1
AIAL,dgk-1
AIAL,cat-1
AIAL,psa-4
AIAL,nhr-22
AIAL,akt-2
AIAL,pry-1
AIAL,str-3
AIAL,tba-2
AIAL,smp-2
SM2L.aa,egl-5
SM2L.aa,gar-2
Earp,vab-7
Earp,lin-12
Earp,nlp-7
Earp,par-6
Earp,gst-44
Earp,rhgf-1
Earp,lam-3
Earp,oma-2
Earp,cat-1
Earp,psa-4
Earp,unc-15
Earp,gar-1
Earp,pry-1
Earp,str-3
Earp,ima-2
Earp,acy-1
Earp,smp-2
Earp,F42A10.3
Earp,nhr-23
VD1,mec-3
VD1,mgl-2
VD1,lin-48
VD1,nhr-83
VD1,F01F1.12
VD1,nlp-24
VD1,nlp-21
ABalapapap,nlp-7
ABalapapap,par-6
ABalapapap,gst-44
ABalapapap,rhgf-1
ABalapapap,cat-1
ABalapapap,spn-4
ABalapapap,mig-1
ABalapapap,psa-4
ABalapapap,pry-1
ABalapapap,str-3
ABalapapap,smp-2
ABalapapap,nhr-85
ABalapapaa,nlp-7
ABalapapaa,par-6
ABalapapaa,gst-44
ABalapapaa,rhgf-1
ABalapapaa,cat-1
ABalapapaa,spn-4
ABalapapaa,mig-1
ABalapapaa,psa-4
ABalapapaa,pry-1
ABalapapaa,str-3
ABalapapaa,smp-2
ABalapapaa,nhr-85
int7R,vab-7
int7R,nlp-7
int7R,par-6
int7R,gst-44
int7R,rhgf-1
int7R,cat-1
int7R,psa-4
int7R,nhr-22
int7R,pha-1
int7R,pry-1
int7R,str-3
int7R,smp-2
int7R,F42A10.3
int7R,nhr-23
MSapa,hlh-2
MSapa,lin-12
MSapa,par-6
MSapa,gst-44
MSapa,rhgf-1
MSapa,spn-4
MSapa,mig-1
MSapa,psa-4
MSapa,pry-1
MSapa,str-3
MSapa,unc-97
MSapa,acy-1
MSapa,smp-2
MSapa,nhr-85
MSapa,bub-1
V2R.paa,alh-9
V2R.paa,klp-16
V2R.paa,B0285.6
P3',tph-1
P3',lad-2
P3',kin-29
P3',pcs-1
P3',unc-86
P3',dop-1
P3',dop-2
P3',gst-44
P3',rhgf-1
P3',cyk-3
P3',inx-4
P3',psa-4
P3',F28C6.1
P3',egl-21
P3',gcy-32
P3',gcy-12
P3',sng-1
P3',dbl-1
P3',pry-1
P3',str-3
P3',lin-11
P3',tbx-9
P3',ceh-6
P3',gly-15
P3',tax-2
P3',nhr-85
P3',vab-15
ABprapappp,nlp-7
ABprapappp,par-6
ABprapappp,gst-44
ABprapappp,rhgf-1
ABprapappp,cat-1
ABprapappp,spn-4
ABprapappp,mig-1
ABprapappp,psa-4
ABprapappp,nhr-22
ABprapappp,pry-1
ABprapappp,str-3
ABprapappp,jkk-1
ABprapappp,smp-2
ABprapappp,nhr-85
SMBDL,mec-7
SMBDL,par-6
SMBDL,gst-44
SMBDL,rhgf-1
SMBDL,psa-4
SMBDL,pry-1
SMBDL,str-3
SMBDL,tba-2
V2R.pap,alh-9
V2R.pap,klp-16
V2R.pap,B0285.6
ABplpaa,nlp-7
ABplpaa,par-6
ABplpaa,gst-44
ABplpaa,rhgf-1
ABplpaa,spn-4
ABplpaa,mig-1
ABplpaa,psa-4
ABplpaa,pry-1
ABplpaa,str-3
ABplpaa,jkk-1
ABplpaa,smp-2
ABplpaa,crt-1
ABplpaa,nhr-85
ABplpaaapa,nlp-7
ABplpaaapa,par-6
ABplpaaapa,gst-44
ABplpaaapa,rhgf-1
ABplpaaapa,cat-1
ABplpaaapa,spn-4
ABplpaaapa,mig-1
ABplpaaapa,psa-4
ABplpaaapa,nhr-22
ABplpaaapa,pry-1
ABplpaaapa,str-3
ABplpaaapa,jkk-1
ABplpaaapa,smp-2
ABplpaaapa,nhr-85
ABpraaappp,nlp-7
ABpraaappp,par-6
ABpraaappp,gst-44
ABpraaappp,rhgf-1
ABpraaappp,cat-1
ABpraaappp,spn-4
ABpraaappp,mig-1
ABpraaappp,psa-4
ABpraaappp,pry-1
ABpraaappp,str-3
ABpraaappp,jkk-1
ABpraaappp,smp-2
ABpraaappp,nhr-85
ABalpapap,nlp-7
ABalpapap,par-6
ABalpapap,gst-44
ABalpapap,rhgf-1
ABalpapap,cat-1
ABalpapap,spn-4
ABalpapap,mig-1
ABalpapap,psa-4
ABalpapap,pry-1
ABalpapap,str-3
ABalpapap,acy-1
ABalpapap,smp-2
ABalpapap,crt-1
ABalpapap,nhr-85
mc2V,par-6
mc2V,gst-44
mc2V,rhgf-1
mc2V,cat-1
mc2V,psa-4
mc2V,nhr-22
mc2V,pry-1
mc2V,str-3
mc2V,smp-2
ABplpap,nlp-7
ABplpap,par-6
ABplpap,gst-44
ABplpap,rhgf-1
ABplpap,spn-4
ABplpap,mig-1
ABplpap,psa-4
ABplpap,pry-1
ABplpap,str-3
ABplpap,jkk-1
ABplpap,smp-2
ABplpap,crt-1
ABplpap,nhr-85
ABplpaaapp,nlp-7
ABplpaaapp,par-6
ABplpaaapp,gst-44
ABplpaaapp,rhgf-1
ABplpaaapp,cat-1
ABplpaaapp,spn-4
ABplpaaapp,mig-1
ABplpaaapp,psa-4
ABplpaaapp,nhr-22
ABplpaaapp,pry-1
ABplpaaapp,str-3
ABplpaaapp,jkk-1
ABplpaaapp,smp-2
ABplpaaapp,nhr-85
vpi2V,T28B4.1
vpi2V,pos-1
vpi2V,par-6
vpi2V,gst-44
vpi2V,rhgf-1
vpi2V,cat-1
vpi2V,psa-4
vpi2V,nhr-22
vpi2V,ocr-2
vpi2V,pry-1
vpi2V,str-3
vpi2V,zig-5
vpi2V,smp-2
ABpraaappa,nlp-7
ABpraaappa,par-6
ABpraaappa,gst-44
ABpraaappa,rhgf-1
ABpraaappa,cat-1
ABpraaappa,spn-4
ABpraaappa,mig-1
ABpraaappa,psa-4
ABpraaappa,pry-1
ABpraaappa,str-3
ABpraaappa,jkk-1
ABpraaappa,smp-2
ABpraaappa,nhr-85
ABalpapaa,nlp-7
ABalpapaa,par-6
ABalpapaa,gst-44
ABalpapaa,rhgf-1
ABalpapaa,cat-1
ABalpapaa,spn-4
ABalpapaa,mig-1
ABalpapaa,psa-4
ABalpapaa,pry-1
ABalpapaa,str-3
ABalpapaa,acy-1
ABalpapaa,smp-2
ABalpapaa,crt-1
ABalpapaa,nhr-85
MSpppaaa,par-6
MSpppaaa,gst-44
MSpppaaa,rhgf-1
MSpppaaa,cat-1
MSpppaaa,spn-4
MSpppaaa,mig-1
MSpppaaa,psa-4
MSpppaaa,nhr-22
MSpppaaa,pry-1
MSpppaaa,str-3
MSpppaaa,ver-1
MSpppaaa,smp-2
MSaappp,par-6
MSaappp,gst-44
MSaappp,rhgf-1
MSaappp,cat-1
MSaappp,spn-4
MSaappp,mig-1
MSaappp,psa-4
MSaappp,pry-1
MSaappp,str-3
MSaappp,acy-1
MSaappp,unc-42
MSaappp,sca-1
MSaappp,smp-2
V2R.p,alh-9
V2R.p,klp-16
V2R.p,B0285.6
Z4.aappp,F55G1.6
ABaraapapaa,nlp-7
ABaraapapaa,par-6
ABaraapapaa,gst-44
ABaraapapaa,rhgf-1
ABaraapapaa,cat-1
ABaraapapaa,spn-4
ABaraapapaa,mig-1
ABaraapapaa,psa-4
ABaraapapaa,nhr-22
ABaraapapaa,pry-1
ABaraapapaa,str-3
ABaraapapaa,smp-2
MSaappa,par-6
MSaappa,gst-44
MSaappa,rhgf-1
MSaappa,cat-1
MSaappa,spn-4
MSaappa,mig-1
MSaappa,psa-4
MSaappa,nhr-22
MSaappa,pry-1
MSaappa,str-3
MSaappa,acy-1
MSaappa,unc-42
MSaappa,sca-1
MSaappa,smp-2
V2R.a,alh-9
V2R.a,klp-16
V2R.a,B0285.6
Z4.aappa,F55G1.6
Z4.aaa,gpa-12
Z4.aaa,ceh-13
Z4.aaa,F55G1.6
Z4.aaa,ahr-1
Z4.aaa,sdz-4
Z4.aaa,rgs-2
M.vrpaa,odr-2
M.vrpaa,F55G1.6
M.vrpaa,ceh-7
M.vrpaa,daf-11
M.vrpaa,tbx-8
M.vrpaa,Y18D10A.23
M.vrpaa,nfm-1
M.vrpaa,tlp-1
SDQR,gcy-35
SDQR,wee-1.1
SDQR,unc-86
SDQR,nlp-14
SDQR,gcy-8
SDQR,pkd-2
SDQR,AH6.3
SDQR,unc-40
SDQR,mec-9
SDQR,lag-2
P4',pcs-1
P4',unc-86
P4',par-6
P4',gst-44
P4',rhgf-1
P4',inx-4
P4',psa-4
P4',egl-21
P4',ins-23
P4',gcy-32
P4',gcy-12
P4',nlp-27
P4',dbl-1
P4',pry-1
P4',str-3
P4',tbx-9
P4',ceh-6
P4',tax-2
P4',smp-2
P4',vab-15
Z4.aap,gpa-12
Z4.aap,F55G1.6
M.vrpap,odr-2
M.vrpap,F55G1.6
M.vrpap,tbx-8
M.vrpap,nfm-1
M.vrpap,tlp-1
TR.appapa,gpa-13
TR.appapa,oga-1
TR.appapa,gar-2
TR.appapa,srg-13
TR.appapa,cha-1
SDQL,gcy-35
SDQL,wee-1.1
SDQL,unc-86
SDQL,nlp-14
SDQL,gcy-8
SDQL,pkd-2
SDQL,AH6.3
SDQL,unc-40
SDQL,mec-9
ABplpppaapa,nlp-7
ABplpppaapa,par-6
ABplpppaapa,gst-44
ABplpppaapa,rhgf-1
ABplpppaapa,cat-1
ABplpppaapa,spn-4
ABplpppaapa,mig-1
ABplpppaapa,psa-4
ABplpppaapa,nhr-22
ABplpppaapa,pry-1
ABplpppaapa,str-3
ABplpppaapa,jkk-1
ABplpppaapa,smp-2
MSaaaaaa,par-6
MSaaaaaa,gst-44
MSaaaaaa,rhgf-1
MSaaaaaa,cat-1
MSaaaaaa,spn-4
MSaaaaaa,mig-1
MSaaaaaa,psa-4
MSaaaaaa,nhr-22
MSaaaaaa,pry-1
MSaaaaaa,str-3
MSaaaaaa,smp-2
PVCR,glr-3
PVCR,gon-4
PVCR,gpa-10
PVCR,pgp-3
PVCR,csk-1
PVCR,gcy-8
PVCR,ces-2
PVCR,par-6
PVCR,gst-44
PVCR,rhgf-1
PVCR,vha-11
PVCR,slt-1
PVCR,psa-4
PVCR,erm-1
PVCR,iff-2
PVCR,sma-9
PVCR,ins-5
PVCR,daf-5
PVCR,F54C9.7
PVCR,mab-23
PVCR,pry-1
PVCR,str-3
PVCR,unc-52
PVCR,rpl-10
PVCR,mrp-5
PVCR,gpc-1
ABprppppap,nlp-7
ABprppppap,par-6
ABprppppap,gst-44
ABprppppap,rhgf-1
ABprppppap,cat-1
ABprppppap,spn-4
ABprppppap,mig-1
ABprppppap,psa-4
ABprppppap,nud-2
ABprppppap,pry-1
ABprppppap,str-3
ABprppppap,jkk-1
ABprppppap,smp-2
ABprppppap,nhr-85
V1R.papp,alh-9
V1R.papp,B0285.6
MSaaaaap,par-6
MSaaaaap,gst-44
MSaaaaap,rhgf-1
MSaaaaap,cat-1
MSaaaaap,spn-4
MSaaaaap,mig-1
MSaaaaap,psa-4
MSaaaaap,pry-1
MSaaaaap,str-3
MSaaaaap,smp-2
PVCL,glr-3
PVCL,gon-4
PVCL,gpa-10
PVCL,pgp-3
PVCL,csk-1
PVCL,gcy-8
PVCL,ces-2
PVCL,par-6
PVCL,gst-44
PVCL,rhgf-1
PVCL,vha-11
PVCL,slt-1
PVCL,psa-4
PVCL,erm-1
PVCL,iff-2
PVCL,sma-9
PVCL,ins-5
PVCL,daf-5
PVCL,F54C9.7
PVCL,mab-23
PVCL,pry-1
PVCL,str-3
PVCL,unc-52
PVCL,rpl-10
PVCL,mrp-5
PVCL,gpc-1
V1R.papa,alh-9
V1R.papa,B0285.6
ABprapapa,nlp-7
ABprapapa,par-6
ABprapapa,gst-44
ABprapapa,rhgf-1
ABprapapa,cat-1
ABprapapa,spn-4
ABprapapa,mig-1
ABprapapa,psa-4
ABprapapa,pry-1
ABprapapa,str-3
ABprapapa,acy-1
ABprapapa,jkk-1
ABprapapa,smp-2
M.vlpp,odr-2
M.vlpp,F55G1.6
M.vlpp,tbx-8
M.vlpp,nfm-1
M.vlpp,tlp-1
V6L.ppppap,alh-9
MSppapap,par-6
MSppapap,gst-44
MSppapap,rhgf-1
MSppapap,cat-1
MSppapap,spn-4
MSppapap,mig-1
MSppapap,psa-4
MSppapap,nhr-22
MSppapap,pry-1
MSppapap,str-3
MSppapap,ric-19
MSppapap,smp-2
V2R.pp,alh-9
V2R.pp,klp-16
V2R.pp,B0285.6
ABprapapp,nlp-7
ABprapapp,par-6
ABprapapp,gst-44
ABprapapp,rhgf-1
ABprapapp,cat-1
ABprapapp,spn-4
ABprapapp,mig-1
ABprapapp,psa-4
ABprapapp,pry-1
ABprapapp,str-3
ABprapapp,acy-1
ABprapapp,jkk-1
ABprapapp,smp-2
M.vlpa,odr-2
M.vlpa,F55G1.6
M.vlpa,tbx-8
M.vlpa,nfm-1
M.vlpa,tlp-1
V6L.ppppaa,gpa-13
V6L.ppppaa,oga-1
V6L.ppppaa,gar-2
V6L.ppppaa,alh-9
V6L.ppppaa,srg-13
V6L.ppppaa,cha-1
V2R.pa,alh-9
V2R.pa,klp-16
V2R.pa,B0285.6
ABaraaaapaa,nlp-7
ABaraaaapaa,par-6
ABaraaaapaa,gst-44
ABaraaaapaa,rhgf-1
ABaraaaapaa,cat-1
ABaraaaapaa,spn-4
ABaraaaapaa,mig-1
